verbnumber,verb,wordnet_synset,example_sentence,aspectual_class,semantic_class,Event_Structure_Type
12,accompany,company.v.01,NONE,process,process,PROCESS
13,accomplish,carry_through.v.01,carry out a task,transition,COS,NONE
13,accomplish,achieve.v.01,she achieved her goal despite setbacks,transition,COS,CHANGE_STATE
14,accrue,accrue.v.01,The interest accrues,transition,COS,CHANGE_STATE
14,accrue,accrue.v.02,The house accrued to the oldest son,transition,COS,CHANGE_STATE
15,accumulate,roll_up.v.02,I am accumulating evidence for the man's unfaithfulness to his wife,transition,COS,NONE
15,accumulate,accumulate.v.02,Journals are accumulating in my office,transition,COS,NONE
16,accuse,accuse.v.01,The neighbors accused the man of spousal abuse,transition,COS,CHANGE_STATE
16,accuse,charge.v.02,he charged the director with indifference,transition,COS,CHANGE_STATE
17,ache,hurt.v.06,Were you hurting after the accident?,state,state,STATE
17,ache,ache.v.02,She ached for a cigarette,transition,COS,CHANGE_STATE
17,ache,ache.v.03,NONE,transition,COS,NONE
18,achieve,achieve.v.01,she achieved her goal despite setbacks,transition,COS,CHANGE_STATE
19,acknowledge,admit.v.01,He admitted his errors,transition,COS,CHANGE_STATE
19,acknowledge,acknowledge.v.02,The program committee acknowledged the submission of the authors of the paper,transition,COS,CHANGE_STATE
19,acknowledge,notice.v.04,He never acknowledges his colleagues when they run into him in the hallway,transition,COS,CHANGE_STATE
19,acknowledge,acknowledge.v.04,We must acknowledge the kindness she showed towards us,transition,COS,CHANGE_STATE
19,acknowledge,acknowledge.v.05,acknowledge the deed,transition,COS,CHANGE_STATE
19,acknowledge,acknowledge.v.06,The Crown Prince was acknowledged as the true heir to the throne,transition,COS,CHANGE_STATE
20,acquaint,introduce.v.01,permit me to acquaint you with my son,transition,COS,CHANGE_STATE
20,acquaint,familiarize.v.01,you should acquaint yourself with your new computer,transition,COS,CHANGE_STATE
20,acquaint,acquaint.v.03,Please acquaint your colleagues of your plans to move,transition,COS,CHANGE_STATE
21,acquiesce,assent.v.01,The Maestro assented to the request for an encore,transition,COS,CHANGE_STATE
22,acquire,get.v.01,She got a lot of paintings from her uncle,transition,COP,GET
22,acquire,assume.v.03,His voice took on a sad tone,transition,COS,CHANGE_STATE
22,acquire,grow.v.08,He grew a beard,transition,COS,SCALAR_CHANGE
22,acquire,acquire.v.04,NONE,transition,COS,NONE
22,acquire,acquire.v.05,I acquired a passing knowledge of Chinese,transition,COS,CHANGE_STATE
22,acquire,learn.v.01,She learned dancing from her sister,transition,COS,CHANGE_STATE
22,acquire,develop.v.03,I acquired a strong aversion to television,transition,COS,CHANGE_STATE
23,act,act.v.01,think before you act,process,process,PROCESS
23,act,act.v.02,You should act like an adult,transition,COS,CHANGE_STATE
23,act,act.v.03,Gielgud played Hamlet,process,process,PROCESS
23,act,act.v.04,She acts as the chair,transition,COS,CHANGE_STATE
23,act,act.v.05,He acted the idiot,transition,COS,CHANGE_STATE
23,act,act.v.06,This scene acts well,transition,COS,CHANGE_STATE
23,act,work.v.03,The voting process doesn't work as well as people thought,process,process,PROCESS
23,act,act.v.08,NONE,process,process,PROCESS
23,act,dissemble.v.03,She's just acting,transition,COS,NONE
23,act,act.v.10,She acts in this play,transition,COS,CHANGE_STATE
24,activate,trip.v.04,trigger a reaction,transition,COS,NONE
24,activate,activate.v.02,activate an old file,transition,COS,CHANGE_STATE
24,activate,activate.v.03,activate a metal,transition,COS,CHANGE_STATE
24,activate,activate.v.04,NONE,transition,COS,CHANGE_STATE
24,activate,activate.v.05,NONE,transition,COS,CHANGE_STATE
25,adapt,adapt.v.01,Adapt our native cuisine to the available food resources of the new country,transition,COS,NONE
25,adapt,adjust.v.03,We must adjust to the bad economic situation,transition,COS,CHANGE_STATE
26,add,add.v.01,We added two students to that dorm room,transition,COS,CHANGE_STATE
26,add,add.v.02,"`It doesn't matter,' he supplied",transition,COS,CHANGE_STATE
26,add,lend.v.01,Her presence lends a certain cachet to the company,transition,COS,NONE
26,add,add.v.04,"Add 27 and 49, please!",transition,COS,CHANGE_STATE
26,add,total.v.02,Add all the people in this town to those of the neighboring town,state,state,STATE
26,add,add.v.06,This paper will add to her reputation,transition,COS,CHANGE_STATE
27,addict,addict.v.01,NONE,transition,COS,NONE
28,adhere,adhere.v.01,You must adhere to the rules,transition,COS,CHANGE_STATE
28,adhere,adhere.v.02,They adhered to their plan,transition,COS,CHANGE_STATE
28,adhere,cling.v.01,The dress clings to her body,transition,COS,NONE
28,adhere,adhere.v.04,The residents of this village adhered to Catholicism,transition,COS,CHANGE_STATE
28,adhere,stand_by.v.03,She stood by her husband in times of trouble,transition,COS,NONE
28,adhere,adhere.v.06,Will this wallpaper adhere to the wall?,transition,COS,NONE
29,adjust,adjust.v.01,"Adjust the clock, please",transition,COS,NONE
29,adjust,align.v.01,align the car with the curb,transition,COS,CHANGE_STATE
29,adjust,adjust.v.03,We must adjust to the bad economic situation,transition,COS,CHANGE_STATE
29,adjust,adjust.v.04,Adjust your eyes to the darkness,transition,COS,NONE
29,adjust,adjust.v.05,NONE,transition,COS,NONE
30,administer,administer.v.01,administer a program,process,process,PROCESS
30,administer,administer.v.02,administer the last unction,process,process,PROCESS
30,administer,distribute.v.01,administer critical remarks to everyone present,transition,COS,NONE
30,administer,administer.v.04,NONE,process,process,PROCESS
30,administer,administer.v.05,administer an exam,process,process,PROCESS
31,admire,admire.v.01,NONE,transition,COS,NONE
31,admire,admire.v.02,NONE,transition,COS,NONE
32,admit,admit.v.01,He admitted his errors,transition,COS,CHANGE_STATE
32,admit,admit.v.02,We cannot admit non-members into our club building,transition,COS,CHANGE_STATE
32,admit,admit.v.03,admit someone to the profession,transition,COS,CHANGE_STATE
32,admit,accept.v.05,accept students for graduate study,transition,COS,CHANGE_STATE
32,admit,admit.v.05,This problem admits of no solution,transition,COS,CHANGE_STATE
32,admit,admit.v.06,The French doors admit onto the yard,transition,COS,CHANGE_STATE
32,admit,accommodate.v.04,This hotel can accommodate 250 guests,transition,COS,CHANGE_STATE
32,admit,admit.v.08,This ticket will admit one adult to the show,transition,COS,CHANGE_STATE
33,adopt,adopt.v.01,She followed the feminist movement,transition,COS,CHANGE_STATE
33,adopt,adopt.v.02,NONE,transition,COS,CHANGE_STATE
33,adopt,assume.v.02,When will the new President assume office?,state,state,STATE
33,adopt,assume.v.03,His voice took on a sad tone,transition,COS,CHANGE_STATE
33,adopt,adopt.v.05,They adopted two children from Nicaragua,transition,COS,CHANGE_STATE
33,adopt,dramatize.v.01,adopt a book for a screenplay,transition,COS,NONE
33,adopt,espouse.v.03,She embraced Catholicism,state,state,STATE
34,adore,adore.v.01,he just adored his wife,transition,COS,CHANGE_STATE
35,adorn,decorate.v.01,Decorate the room for the party,transition,COS,NONE
35,adorn,deck.v.01,Flowers adorned the tables everywhere,transition,COS,CHANGE_STATE
35,adorn,invest.v.03,NONE,transition,COS,NONE
36,advertise,advertise.v.01,Please don't advertise the fact that he has AIDS,process,process,PROCESS
36,advertise,advertise.v.02,The salesman is aggressively pushing the new computer model,transition,COS,NONE
37,advise,rede.v.02,The teacher counsels troubled students,transition,COS,NONE
37,advise,advise.v.02,I advised him that the rent was due,transition,COS,CHANGE_STATE
37,advise,propose.v.01,the senator proposed to abolish the sales tax,transition,COS,CHANGE_STATE
38,affect,affect.v.01,Will the new rules affect me?,transition,COS,CHANGE_STATE
38,affect,affect.v.02,the medicine affects my heart rate,transition,COS,CHANGE_STATE
38,affect,involve.v.01,This new ruling affects your business,transition,COS,CHANGE_STATE
38,affect,feign.v.01,He feigned that he was ill,process,process,PROCESS
38,affect,affect.v.05,This child impressed me as unusually mature,transition,COS,CHANGE_STATE
39,affirm,confirm.v.01,his story confirmed my doubts,transition,COS,CHANGE_STATE
39,affirm,affirm.v.02,Before God I swear I am innocent,transition,COS,NONE
39,affirm,affirm.v.03,NONE,transition,COS,NONE
40,affix,affix.v.01,affix the seal here,transition,COS,NONE
40,affix,append.v.01,He appended a glossary to his novel where he used an invented language,transition,COS,CHANGE_STATE
40,affix,affix.v.03,grammatical morphemes affix to the stem,transition,COS,CHANGE_STATE
41,afflict,afflict.v.01,she was afflicted by the death of her parents,transition,COS,CHANGE_STATE
41,afflict,afflict.v.02,afflict with the plague,transition,COS,NONE
42,affront,diss.v.01,He insulted her with his rude remarks,transition,COS,CHANGE_STATE
43,age,age.v.01,The death of his wife caused him to age fast,transition,COS,CHANGE_STATE
43,age,senesce.v.01,She aged gracefully,transition,COS,CHANGE_STATE
43,age,age.v.03,The death of his child aged him tremendously,transition,COS,CHANGE_STATE
44,aggravate,worsen.v.02,This drug aggravates the pain,transition,COS,SCALAR_CHANGE
44,aggravate,exacerbate.v.02,NONE,transition,COS,SCALAR_CHANGE
45,agitate,agitate.v.01,NONE,transition,COS,NONE
45,agitate,agitate.v.02,The speaker charged up the crowd with his inflammatory remarks,transition,COS,CHANGE_STATE
45,agitate,crusade.v.01,The liberal party pushed for reforms,process,process,MOTION
45,agitate,stir.v.02,He shifted in his seat,transition,COS,CHANGE_STATE
45,agitate,shake.v.01,The chemist shook the flask vigorously,process,process,PROCESS
45,agitate,agitate.v.06,NONE,transition,COS,NONE
46,agonize,agonize.v.01,NONE,transition,COS,NONE
46,agonize,agonize.v.02,NONE,transition,COS,NONE
47,agree,agree.v.01,We agreed on the terms of the settlement,transition,COS,CHANGE_STATE
47,agree,agree.v.02,She agreed to all my conditions,transition,COS,CHANGE_STATE
47,agree,match.v.01,The two stories don't agree in many details,transition,COS,CHANGE_STATE
47,agree,harmonize.v.01,The colors don't harmonize,transition,COS,CHANGE_STATE
47,agree,agree.v.05,Subjects and verbs must always agree in English,transition,COS,CHANGE_STATE
47,agree,agree.v.06,White wine doesn't agree with me,transition,COS,CHANGE_STATE
47,agree,agree.v.07,No two of my colleagues would agree on whom to elect chairman,transition,COS,CHANGE_STATE
48,aim,aim.v.01,Please don't aim at your little brother!,transition,COS,CHANGE_STATE
48,aim,aim.v.02,I aim to arrive at noon,transition,COS,CHANGE_STATE
48,aim,drive.v.11,What are you driving at?,process,process,MOTION
48,aim,calculate.v.05,NONE,state,state,STATE
48,aim,target.v.01,He aimed his fists towards his opponent's face,state,state,STATE
48,aim,aim.v.06,She wanted to aim a pun,transition,COS,CHANGE_STATE
48,aim,draw_a_bead_on.v.02,NONE,state,state,STATE
49,air,air_out.v.01,aerate your old sneakers,transition,COS,NONE
49,air,air.v.02,This show will air Saturdays at 2 P.M.,transition,COS,CHANGE_STATE
49,air,air.v.03,We cannot air this X-rated song,transition,COS,CHANGE_STATE
49,air,publicize.v.01,She aired her opinions on welfare,process,process,PROCESS
49,air,air.v.05,Air linen,process,process,PROCESS
49,air,vent.v.02,air the old winter clothes,transition,COS,NONE
50,alarm,dismay.v.02,I was horrified at the thought of being late for my interview,transition,COS,CHANGE_STATE
50,alarm,alarm.v.02,The empty house alarmed him,transition,COS,CHANGE_STATE
51,alienate,estrange.v.02,She alienated her friends when she became fanatically religious,transition,COS,CHANGE_STATE
51,alienate,alien.v.01,The will aliened the property to the heirs,transition,COS,CHANGE_STATE
51,alienate,alienate.v.03,the boring work alienated his employees,process,process,PROCESS
52,allocate,allocate.v.01,I am allocating a loaf of bread to everyone on a daily basis,transition,COS,NONE
53,allow,let.v.01,This permits the water to rush in,transition,COS,CHANGE_STATE
53,allow,permit.v.01,She permitted her son to visit her estranged husband,transition,COS,CHANGE_STATE
53,allow,allow.v.03,grant permission,transition,COS,CHANGE_STATE
53,allow,allow.v.04,I will earmark this money for your research,transition,COS,CHANGE_STATE
53,allow,leave.v.06,This leaves no room for improvement,transition,COS,CHANGE_STATE
53,allow,allow.v.06,I allow for this possibility,transition,COS,CHANGE_STATE
53,allow,admit.v.05,This problem admits of no solution,transition,COS,CHANGE_STATE
53,allow,give_up.v.11,give up a run,transition,COS,NONE
53,allow,allow.v.09,The camera store owner allowed me $50 on my old camera,transition,COS,CHANGE_STATE
53,allow,allow.v.10,We don't allow dogs here,transition,COS,CHANGE_STATE
54,alter,change.v.01,The advent of the automobile may have altered the growth pattern of the city,transition,COS,CHANGE_STATE
54,alter,change.v.03,her mood changes in accordance with the weather,transition,COS,CHANGE_STATE
54,alter,alter.v.03,This dress needs to be altered,state,state,STATE
54,alter,interpolate.v.02,NONE,transition,COS,CHANGE_STATE
54,alter,alter.v.05,Is your cat spayed?,transition,COS,CHANGE_STATE
55,amass,accumulate.v.02,Journals are accumulating in my office,transition,COS,NONE
55,amass,roll_up.v.02,I am accumulating evidence for the man's unfaithfulness to his wife,transition,COS,NONE
56,amaze,amaze.v.01,Your ability to speak six languages amazes me!,transition,COS,PROCESS
56,amaze,perplex.v.01,This beats me!,transition,COS,NONE
57,amble,amble.v.01,NONE,transition,COS,NONE
58,amplify,magnify.v.01,Her terror was magnified in her mind,transition,COS,CHANGE_STATE
58,amplify,overstate.v.01,tended to romanticize and exaggerate this `gracious Old South' imagery,transition,COS,CHANGE_STATE
58,amplify,inflate.v.01,The charges were inflated,transition,COS,CHANGE_STATE
58,amplify,amplify.v.04,amplify sound,transition,COS,NONE
59,amuse,amuse.v.01,The play amused the ladies,process,process,PROCESS
59,amuse,amuse.v.02,The clown amused the children,transition,COS,CHANGE_STATE
60,analyze,analyze.v.01,analyze a sonnet by Shakespeare,transition,COS,NONE
60,analyze,analyze.v.02,analyze a specimen,transition,COS,NONE
60,analyze,analyze.v.03,analyze today's financial market,transition,COS,NONE
60,analyze,analyze.v.04,I was analyzed in Vienna by a famous psychiatrist,transition,COS,CHANGE_STATE
61,anchor,anchor.v.01,anchor the lamppost in concrete,transition,COS,CHANGE_STATE
61,anchor,anchor.v.02,We anchored at Baltimore,transition,COL,TRANSFER
62,anger,anger.v.01,The news angered him,transition,COS,CHANGE_STATE
62,anger,anger.v.02,He angers easily,transition,COS,CHANGE_STATE
63,angle,angle.v.01,he angled his way into the room,transition,COS,CHANGE_STATE
63,angle,lean.v.01,She leaned over the banister,transition,COL,NONE
63,angle,fish.v.01,fish for compliments,transition,COS,NONE
63,angle,angle.v.04,NONE,transition,COS,NONE
63,angle,slant.v.02,He biased his presentation so as to please the share holders,transition,COS,NONE
64,animate,inspire.v.01,These paintings exalt the imagination,transition,COS,CHANGE_STATE
64,animate,animize.v.01,animated cartoons,transition,COS,NONE
64,animate,enliven.v.02,let's liven up this room a bit,transition,COS,NONE
64,animate,animate.v.04,A hot soup will revive me,transition,COS,CHANGE_STATE
65,annihilate,eliminate.v.03,the plague wiped out an entire population,transition,COS,SCALAR_CHANGE
66,announce,announce.v.01,She denoted her feelings clearly,transition,COS,CHANGE_STATE
66,announce,announce.v.02,The President declared war,transition,COS,CHANGE_STATE
66,announce,announce.v.03,He announced the winners of the spelling bee,transition,COS,CHANGE_STATE
66,announce,announce.v.04,NONE,transition,COS,CHANGE_STATE
67,annoy,annoy.v.01,Mosquitoes buzzing in my ear really bothers me,transition,COS,NONE
68,annul,invalidate.v.01,The contract was annulled,transition,COS,CHANGE_STATE
68,annul,revoke.v.02,He revoked the ban on smoking,transition,COS,CHANGE_STATE
69,anoint,anoint.v.01,She was anointed the head of the Christian fundamentalist group,transition,COS,CHANGE_STATE
69,anoint,anoint.v.02,NONE,transition,COS,NONE
70,answer,answer.v.01,She didn't want to answer,state,state,STATE
70,answer,answer.v.02,answer the door,transition,COS,CHANGE_STATE
70,answer,answer.v.03,answer a question,transition,COS,CHANGE_STATE
70,answer,answer.v.04,The question concerning the meaning of life cannot be answered,transition,COS,CHANGE_STATE
70,answer,answer.v.05,The defendant answered to all the charges of the prosecution,transition,COS,CHANGE_STATE
70,answer,answer.v.06,She must answer for her actions,transition,COS,STATE
70,answer,suffice.v.01,A few words would answer,transition,COS,STATE
70,answer,answer.v.08,The drawing of the suspect answers to the description the victim gave,transition,COS,CHANGE_STATE
70,answer,answer.v.09,This may answer her needs,transition,COS,STATE
70,answer,answer.v.10,The steering of my new car answers to the slightest touch,transition,COS,CHANGE_STATE
71,antagonize,antagonize.v.01,Don't antagonize your boss,transition,COS,CHANGE_STATE
71,antagonize,antagonize.v.02,NONE,transition,COS,NONE
72,anticipate,expect.v.01,The meteorologists are expecting rain for tomorrow,state,state,STATE
72,anticipate,anticipate.v.02,NONE,state,state,STATE
72,anticipate,anticipate.v.03,NONE,state,state,STATE
72,anticipate,predict.v.01,Call the outcome of an election,state,state,STATE
72,anticipate,anticipate.v.05,NONE,state,state,STATE
72,anticipate,anticipate.v.06,This composition anticipates Impressionism,transition,COS,CHANGE_STATE
73,antique,antique.v.01,We went antiquing on Saturday,transition,COS,NONE
73,antique,antique.v.02,antique furniture,transition,COS,NONE
74,appear,look.v.02,She seems to be sleeping,state,state,STATE
74,appear,appear.v.02,He suddenly appeared at the wedding,transition,COL,TRANSFER
74,appear,appear.v.03,Did your latest book appear yet?,transition,COS,COME_INTO_EXISTENCE
74,appear,appear.v.04,It seems that he is very gifted,state,state,STATE
74,appear,appear.v.05,Then the computer came along and changed our lives,transition,COS,COME_INTO_EXISTENCE
74,appear,appear.v.06,Gielgud appears briefly in this movie,transition,COS,COME_INTO_EXISTENCE
74,appear,appear.v.07,He had to appear in court last month,state,state,STATE
75,appease,pacify.v.01,She managed to mollify the angry customer,transition,COS,POSITIVE_CAUSATION
75,appease,quell.v.02,quell my hunger,transition,COS,CHANGE_STATE
75,appease,propitiate.v.01,NONE,transition,COS,NONE
76,applaud,applaud.v.01,NONE,transition,COS,NONE
76,applaud,applaud.v.02,I applaud your efforts,transition,COS,CHANGE_STATE
77,apply,use.v.01,use your head!,process,process,PROCESS
77,apply,apply.v.02,The same laws apply to you!,transition,COS,CHANGE_STATE
77,apply,apply.v.03,He applied for a leave of absence,transition,COS,CHANGE_STATE
77,apply,put_on.v.07,She applied paint to the back of the house,transition,COS,CHANGE_STATE
77,apply,lend_oneself.v.01,This theory lends itself well to our new data,transition,COS,NONE
77,apply,give.v.20,She gave him First Aid,transition,COP,GIVE
77,apply,practice.v.04,apply a principle,transition,COS,NONE
77,apply,enforce.v.01,Apply the rules to everyone,transition,COS,CHANGE_STATE
77,apply,apply.v.09,He applied this racial slur to me!,transition,COS,CHANGE_STATE
77,apply,apply.v.10,Please apply yourself to your homework,transition,COS,CHANGE_STATE
78,appoint,appoint.v.01,nominate a committee,transition,COS,CHANGE_STATE
78,appoint,appoint.v.02,He was appointed deputy manager,transition,COS,CHANGE_STATE
78,appoint,appoint.v.03,a beautifully appointed house,transition,COS,CHANGE_STATE
79,appraise,measure.v.04,I will have the family jewels appraised by a professional,transition,COS,POSITIVE_CAUSATION
79,appraise,survey.v.01,He appraised the situation carefully before acting,state,state,STATE
80,appreciate,appreciate.v.01,NONE,state,state,STATE
80,appreciate,appreciate.v.02,Do you appreciate the full meaning of this letter?,transition,COS,CHANGE_STATE
80,appreciate,prize.v.01,I prize these old photographs,transition,COS,CHANGE_STATE
80,appreciate,appreciate.v.04,The yen appreciated again!,state,state,STATE
80,appreciate,appreciate.v.05,The Germans want to appreciate the Deutsche Mark,state,state,STATE
81,apprehend,grok.v.01,Do you comprehend the meaning of this letter?,transition,COS,CHANGE_STATE
81,apprehend,collar.v.01,the police nabbed the suspected criminals,transition,COS,CHANGE_STATE
81,apprehend,apprehend.v.03,NONE,transition,COS,NONE
82,apprise,advise.v.02,I advised him that the rent was due,transition,COS,CHANGE_STATE
82,apprise,instruct.v.03,Have the students been apprised of the tuition hike?,transition,COS,POSITIVE_CAUSATION
82,apprise,appreciate.v.04,The yen appreciated again!,state,state,STATE
82,apprise,appreciate.v.05,The Germans want to appreciate the Deutsche Mark,state,state,STATE
83,approach,approach.v.01,We were approaching our destination,transition,COL,ARRIVE
83,approach,border_on.v.01,This borders on discrimination!,transition,COS,
83,approach,set_about.v.01,approach a task,transition,COS,NONE
83,approach,approach.v.04,Winter is approaching,transition,COL,ARRIVE
83,approach,approach.v.05,I was approached by the President to serve as his adviser in foreign matters,transition,COS,POSITIVE_CAUSATION
84,approve,approve.v.01,I approve of his educational policies,transition,COS,CHANGE_STATE
84,approve,approve.v.02,NONE,transition,COS,CHANGE_STATE
85,argue,argue.v.01,NONE,process,process,PROCESS
85,argue,argue.v.02,NONE,process,process,PROCESS
85,argue,argue.v.03,The evidence argues for your claim,transition,COS,CHANGE_STATE
86,arise,originate.v.01,A new religious movement originated in that country,transition,COS,CHANGE_STATE
86,arise,arise.v.02,a question arose,transition,COS,COME_INTO_EXISTENCE
86,arise,arise.v.03,The audience got up and applauded,transition,COS,COME_INTO_EXISTENCE
86,arise,arise.v.04,A slight unpleasantness arose from this discussion,transition,COS,COME_INTO_EXISTENCE
86,arise,rise.v.01,The fog lifted,transition,COS,CHANGE_STATE
86,arise,rebel.v.01,NONE,transition,COS,COME_INTO_EXISTENCE
86,arise,get_up.v.02,I get up at 7 A.M. every day,transition,COS,NONE
87,arm,arm.v.01,The U.S. is girding for a conflict in the Middle East,transition,COS,NONE
87,arm,arm.v.02,The U.S. armed the freedom fighters in Afghanistan,process,process,PROCESS
88,arrange,arrange.v.01,arrange the books on the shelves in chronological order,transition,COS,NONE
88,arrange,arrange.v.02,Can you arrange a meeting with the President?,transition,COS,CHANGE_STATE
88,arrange,stage.v.02,the neighboring tribe staged an invasion,process,process,PROCESS
88,arrange,format.v.01,Format this letter so it can be printed out,transition,COS,NONE
88,arrange,dress.v.16,dress my hair for the wedding,transition,COS,NONE
88,arrange,arrange.v.06,set this poem to music,transition,COS,NONE
88,arrange,arrange.v.07,arrange my schedule,transition,COS,NONE
89,arrive,arrive.v.01,She arrived home at 7 o'clock,transition,COL,ARRIVE
89,arrive,arrive.v.02,"After he published his book, he had arrived",transition,COS,COME_INTO_EXISTENCE
90,articulate,joint.v.02,the carpenter jointed two pieces of wood,transition,COS,CHANGE_STATE
90,articulate,give_voice.v.01,He formulated his concerns to the board of trustees,transition,COS,CHANGE_STATE
90,articulate,pronounce.v.01,She pronounces French words in a funny way,transition,COS,CHANGE_STATE
90,articulate,articulate.v.04,the ankle bone articulates with the leg bones to form the ankle bones,transition,COS,CHANGE_STATE
90,articulate,articulate.v.05,NONE,transition,COS,NONE
91,ascend,ascend.v.01,go up a ladder,transition,COS,NONE
91,ascend,ascend.v.02,Inheritance may not ascend linearly,transition,COS,CHANGE_STATE
91,ascend,ascend.v.03,She ascended to the throne after the King's death,transition,COS,CHANGE_STATE
91,ascend,ascend.v.04,the vine climbed up the side of the house,transition,COS,NONE
91,ascend,ascend.v.05,The boat ascended the Delaware,transition,COS,CHANGE_STATE
91,ascend,ascend.v.06,The path ascended to the top of the hill,transition,COS,CHANGE_STATE
91,ascend,rise.v.16,The sun also rises,transition,COS,SCALAR_CHANGE
91,ascend,ascend.v.08,She ascended from a life of poverty to one of great,transition,COS,CHANGE_STATE
92,ascertain,determine.v.01,find the product of two numbers,transition,COS,CHANGE_STATE
92,ascertain,see.v.10,He verified that the valves were closed,state,state,STATE
92,ascertain,determine.v.08,I want to see whether she speaks French,state,state,STATE
92,ascertain,ascertain.v.04,NONE,transition,COS,NONE
93,ask,ask.v.01,I asked about their special today,transition,COS,CHANGE_STATE
93,ask,ask.v.02,She asked him for a loan,transition,COS,CHANGE_STATE
93,ask,ask.v.03,ask a question,transition,COS,CHANGE_STATE
93,ask,ask.v.04,We require our secretary to be on time,state,state,STATE
93,ask,ask.v.05,Ask your teacher about trigonometry,transition,COS,CHANGE_STATE
93,ask,necessitate.v.01,It takes nerve to do what she did,transition,COS,CHANGE_STATE
93,ask,ask.v.07,He is asking $200 for the table,transition,COS,CHANGE_STATE
94,asphyxiate,smother.v.02,Othello smothered Desdemona with a pillow,transition,COS,NONE
94,asphyxiate,suffocate.v.02,The foul air was slowly suffocating the children,transition,COS,NONE
94,asphyxiate,suffocate.v.05,The child suffocated under the pillow,transition,COS,CHANGE_STATE
95,assail,assail.v.01,The mugger assaulted the woman,transition,COS,CHANGE_STATE
95,assail,attack.v.01,"Hitler attacked Poland on September 1, 1939 and started World War II",process,process,PROCESS
95,assail,attack.v.02,The editors of the left-leaning paper attacked the new House Speaker,process,process,PROCESS
96,assassinate,assassinate.v.01,Anwar Sadat was assassinated because many people did not like his peace politics with Israel,transition,COS,CHANGE_STATE
96,assassinate,assassinate.v.02,He assassinated his enemy's character,transition,COS,CHANGE_STATE
97,assemble,assemble.v.01,She pieced a quilt,transition,COS,CHANGE_STATE
97,assemble,meet.v.07,We assembled in the church basement,transition,COS,CHANGE_STATE
97,assemble,assemble.v.03,assemble your colleagues,transition,COS,CHANGE_STATE
98,assert,assert.v.01,NONE,transition,COS,CHANGE_STATE
